tuning_year,C,epsilon,kernel,gamma
2005,5.727024053614377,2.7923082647454933,rbf,auto
2006,2.680840158144902,0.2792840174803325,rbf,auto
2007,8.702351630857937,0.9132456198105157,rbf,auto
2008,9.98030589627333,1.7562214085564778,rbf,scale
2009,9.271129395836198,0.10299530162925809,poly,auto
2010,7.334967100183873,0.1016582843544355,rbf,auto
2011,9.698927794374082,0.22358913171833597,poly,scale
2012,9.927511765213941,1.3813383786386622,poly,scale
2013,9.888788746687784,0.7043841323467398,poly,scale
2014,9.996001555636836,1.9201118082852446,poly,auto
2015,5.637654731469418,0.10985503451386186,poly,auto
2016,9.728706490580192,1.3898569142583774,poly,auto
2017,9.816422413836143,2.2672295909666595,poly,auto
2018,2.960095628662468,0.22424458564202387,poly,auto
2019,9.013724588079523,0.3100301706612697,rbf,auto
2020,9.595904033570907,0.3244828969876144,poly,scale
2021,1.7921421766233867,0.10209628413703856,rbf,scale
2022,9.9047879681734,0.26195564121441184,rbf,auto
